date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:11	4931/4931	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226816d9f3-714e%22	https://docs.Deephex.ai/robots.txt		(from )
15:30:11	36752/36752	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-8f90%22	https://docs.Deephex.ai/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/index.html	(from )
15:30:11	1162/1162	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226816d9f3-48a%22	https://docs.Deephex.ai/assets/logo.png	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/assets/logo.png	(from https://docs.Deephex.ai/)
15:30:11	39131/39131	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-98db%22	https://docs.Deephex.ai/why_Deephex/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/why_Deephex/index.html	(from https://docs.Deephex.ai/)
15:30:11	131816/131816	---M-Z	200	added ('OK')	text/css	etag:W/%226816d9f3-202e8%22	https://docs.Deephex.ai/assets/stylesheets/main.2afb09e1.min.css	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/assets/stylesheets/main.2afb09e1.min.css	(from https://docs.Deephex.ai/)
15:30:11	12522/12522	---M-Z	200	added ('OK')	text/css	etag:W/%226816d9f3-30ea%22	https://docs.Deephex.ai/assets/stylesheets/palette.06af60db.min.css	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/assets/stylesheets/palette.06af60db.min.css	(from https://docs.Deephex.ai/)
15:30:12	4199/4199	---M-Z	200	added ('OK')	text/css	etag:W/%226816d9f3-1067%22	https://docs.Deephex.ai/assets/_mkdocstrings.css	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/assets/_mkdocstrings.css	(from https://docs.Deephex.ai/)
15:30:12	1177/1177	---M-Z	200	added ('OK')	text/css	etag:W/%226816d9f3-499%22	https://docs.Deephex.ai/stylesheets/extra.css	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/stylesheets/extra.css	(from https://docs.Deephex.ai/)
15:30:12	36752/36752	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-8f90%22	https://docs.Deephex.ai/.	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/.html	(from https://docs.Deephex.ai/)
15:30:13	108574/108574	---M-Z	200	added ('OK')	application/javascript	etag:W/%226816d9f3-1a81e%22	https://docs.Deephex.ai/assets/javascripts/bundle.c8b220af.min.js	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/assets/javascripts/bundle.c8b220af.min.js	(from https://docs.Deephex.ai/)
15:30:13	38087/38087	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-94c7%22	https://docs.Deephex.ai/design/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/design/index.html	(from https://docs.Deephex.ai/)
15:30:13	44365/44365	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-ad4d%22	https://docs.Deephex.ai/guides/installation/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/installation/index.html	(from https://docs.Deephex.ai/)
15:30:14	34077/34077	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-851d%22	https://docs.Deephex.ai/cli/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/cli/index.html	(from https://docs.Deephex.ai/)
15:30:14	38351/38351	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-95cf%22	https://docs.Deephex.ai/examples/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/examples/index.html	(from https://docs.Deephex.ai/)
15:30:14	35775/35775	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-8bbf%22	https://docs.Deephex.ai/contributing/contributing/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/contributing/contributing/index.html	(from https://docs.Deephex.ai/)
15:30:14	49754/49754	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-c25a%22	https://docs.Deephex.ai/communicator_extensions/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/communicator_extensions/index.html	(from https://docs.Deephex.ai/)
15:30:15	561759/561759	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-8925f%22	https://docs.Deephex.ai/api_reference/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/api_reference/index.html	(from https://docs.Deephex.ai/)
15:30:15	53161/53161	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-cfa9%22	https://docs.Deephex.ai/guides/getting_started/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/getting_started/index.html	(from https://docs.Deephex.ai/)
15:30:15	60086/60086	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-eab6%22	https://docs.Deephex.ai/guides/configuration/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/configuration/index.html	(from https://docs.Deephex.ai/)
15:30:15	62371/62371	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-f3a3%22	https://docs.Deephex.ai/guides/llm_integration/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/llm_integration/index.html	(from https://docs.Deephex.ai/)
15:30:16	92603/92603	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-169bb%22	https://docs.Deephex.ai/guides/communication/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/communication/index.html	(from https://docs.Deephex.ai/)
15:30:16	207533/207533	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-32aad%22	https://docs.Deephex.ai/guides/mcp_developer_guide/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/mcp_developer_guide/index.html	(from https://docs.Deephex.ai/)
15:30:17	98145/98145	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-17f61%22	https://docs.Deephex.ai/guides/patterns/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/patterns/index.html	(from https://docs.Deephex.ai/)
15:30:17	111495/111495	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-1b387%22	https://docs.Deephex.ai/guides/mcp_integration/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/mcp_integration/index.html	(from https://docs.Deephex.ai/)
15:30:17	69036/69036	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-10dac%22	https://docs.Deephex.ai/guides/reasoning_integration/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/reasoning_integration/index.html	(from https://docs.Deephex.ai/)
15:30:17	45298/45298	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-b0f2%22	https://docs.Deephex.ai/architecture/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/architecture/index.html	(from https://docs.Deephex.ai/)
15:30:18	39809/39809	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-9b81%22	https://docs.Deephex.ai/use_cases/chesspal_ai/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/use_cases/chesspal_ai/index.html	(from https://docs.Deephex.ai/)
15:30:18	118492/118492	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-1cedc%22	https://docs.Deephex.ai/guides/testing-utilities/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/testing-utilities/index.html	(from https://docs.Deephex.ai/)
15:30:18	97390/97390	---M-Z	200	added ('OK')	text/html	etag:W/%226816d9f3-17c6e%22	https://docs.Deephex.ai/guides/deployment/	C:/Users/Pakyngl/Downloads/framer/https___docs.Deephex.ai_/docs.Deephex.ai/guides/deployment/index.html	(from https://docs.Deephex.ai/)
